subregion,avg_ai_strategy,avg_ai_literacy,avg_ai_governance,avg_composite
Southern Asia,0.86,0.87,0.85,0.86
Northern Africa,0.84,0.81,0.79,0.813
Western Africa,0.835,0.81,0.77,0.805
Southern Africa,0.715,0.725,0.75,0.73
South-Eastern Asia,0.723,0.72,0.7,0.714
Western Asia,0.713,0.715,0.667,0.698
Central America,0.71,0.66,0.64,0.67
South America,0.65,0.649,0.595,0.631
North America,0.618,0.603,0.577,0.599
Eastern Asia,0.61,0.592,0.577,0.593
Southeast Europe,0.54,0.6,0.61,0.583
Northern Europe,0.552,0.579,0.547,0.559
Western Europe,0.554,0.548,0.548,0.55
Central Europe,0.526,0.541,0.534,0.533
Australia and New Zealand,0.52,0.52,0.54,0.526
Southern Europe,0.535,0.527,0.506,0.523
,0.47,0.487,0.485,0.481
