subregion,Country,ai_governance
Southern Asia,India,0.85
Northern Africa,Egypt,0.79
Eastern Asia,China,0.77
Western Africa,Nigeria,0.77
Western Asia,Saudi Arabia,0.77
Western Asia,United Arab Emirates,0.77
Southern Africa,South Africa,0.75
South America,Brazil,0.7
South-Eastern Asia,Singapore,0.7
Central America,Costa Rica,0.64
Southern Europe,Italy,0.64
Western Europe,Switzerland,0.64
Northern Europe,Denmark,0.63
Northern Europe,United Kingdom,0.63
Australia and New Zealand,Australia,0.61
North America,Mexico,0.61
Central Europe,Poland,0.61
Southeast Europe,Romania,0.61
